,Unnamed: 0,followers_count,id,link,pop_score,time,text,score,word_counts,eng_perc,platform
640,675,748,610395241913266176,https://twitter.com/i/web/status/610395241913266176,4,2015-06-15,I visited the famous cat lady of bgc,0.5,8,0.5,tw
641,676,642,965191574614286336,https://twitter.com/i/web/status/965191574614286336,4,2018-02-18,Still angry about what Shangrila at the Fort did to Please rate them with 1 star (I'd rate them 0 if I could) on Facebook!!!!,-1.0,26,0.4230769230769231,tw
642,677,553,965024700517597184,https://twitter.com/i/web/status/965024700517597184,8,2018-02-18,"A Apparently, the BGC cats were taken by Pest Busters in the middle of the night for the Shangrila The Fort branch. Shang says they’re safe, but where’s the proof?",0.18333333333333335,34,0.38235294117647056,tw
643,678,185,965890924478791680,https://twitter.com/i/web/status/965890924478791680,8,2018-02-20,Thank you . We hope for better news. have a lot of explaining to do.,0.5,14,0.35714285714285715,tw
644,679,728,965592591633809408,https://twitter.com/i/web/status/965592591633809408,1,2018-02-19,fuck you if you did lay your dirty hands on these beings . I hope nothing but the worst for all involved,-0.6666666666666666,21,0.47619047619047616,tw
645,680,2110,316005050315046912,https://twitter.com/i/web/status/316005050315046912,0,2013-03-25,Cat from BGC rt my women crush wednesday pic of her,0.0,11,0.36363636363636365,tw
646,681,86,333276059300675584,https://twitter.com/i/web/status/333276059300675584,1,2013-05-11,"""@UrielMendoza408: @AllThingsBGC @JoeyBGCBlogger lol u should see some of the other Bgc 5 fights they're uncut and Damn cat is a beast",0.05833333333333335,23,0.34782608695652173,tw
647,682,2119,965438677089337344,https://twitter.com/i/web/status/965438677089337344,1,2018-02-19,Nilalaro pa namin mga 'to eh tuwing nasa office ako sa BGC 😔.... why?????,0.0,14,0.14285714285714285,tw
648,683,341,966487442495758336,https://twitter.com/i/web/status/966487442495758336,3,2018-02-22,"Heard of the issue just now & I'm crying my heart out. How dare these ppl think they have the right to mess with their lives? Beyond furious! Saw their statement but I need more proof if they were truly ""relocated"" & given a new home.",0.10066558441558442,45,0.4888888888888889,tw
649,684,191,965501116594077696,https://twitter.com/i/web/status/965501116594077696,0,2018-02-19,No experience with the but I had one with the hahaha,0.2,11,0.36363636363636365,tw
650,685,6621,192651199005204480,https://twitter.com/i/web/status/192651199005204480,0,2012-04-18,I love cats RT@PrettyboiMe: @iMissBeyhave hey how r yhu so r yhu one of the bgc 9 cats members??,0.5,20,0.45,tw
